title,price,rating,seller,image,description
G.SKILL Ripjaws Series 16GB 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model F4-3200C22S-16GRS,$69.00,Rating + 4.8,,https://c1.neweggimages.com/productimage/nb300/20-374-027-S01.jpg,"CAS Latency:CL22, Timing:22-22-22-52, Voltage:1.20V, Features:Optimized Compatibility with 10th / 11th Gen Intel Core Processors, Model #:F4-3200C22S-16GRS"
CORSAIR Vengeance 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Laptop Memory Model CMSX32GX5M2A5600C48,$269.99,Rating + 4.6,,https://c1.neweggimages.com/productimage/nb300/20-236-852-V01.jpg,"CAS Latency:CL48, Timing:48-48-48-90, Voltage:1.10V, Part Number:CMSX32GX5M2A5600C48, Model #:CMSX32GX5M2A5600C48"
G.SKILL Ripjaws SO-DIMM 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 4800 (PC4 38400) Laptop Memory Model F5-4800S3434A16GX2-RS,$189.99,Rating + 4.7,,https://c1.neweggimages.com/productimage/nb300/20-374-388-V01.jpg,"CAS Latency:CL34, Timing:34-34-34-76, Voltage:1.10V, Buffered/Registered:Unbuffered, Model #:F5-4800S3434A16GX2-RS"
CORSAIR Vengeance 64GB (2 x 32GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Laptop Memory Model CMSX64GX5M2A5600C48,$528.99,Rating + 5,,https://c1.neweggimages.com/productimage/nb300/20-236-852-V01.jpg,"CAS Latency:CL48, Timing:48-48-48-90, Voltage:1.10V, Multi-channel Kit:Dual Channel Kit, Model #:CMSX64GX5M2A5600C48"
G.SKILL Ripjaws SO-DIMM 64GB (2 x 32GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Laptop Memory Model F5-5600S4040A32GX2-RS,$805.13,Rating + 4.7,,https://c1.neweggimages.com/productimage/nb300/20-374-398-V01.jpg,"CAS Latency:CL40, Timing:40-40-40, Voltage:1.10V, Multi-channel Kit:Dual Channel Kit, Model #:F5-5600S4040A32GX2-RS"
Kingston FURY Impact 64GB (2 x 32GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Laptop Memory Model KF556S40IBK2-64,$499.00,Rating + 4.6,,https://c1.neweggimages.com/productimage/nb300/20-242-793-02.jpg,"Brand:Kingston, Series:FURY Impact, Capacity:64GB (2 x 32GB), Type:262-Pin DDR5 SO-DIMM, Model #:KF556S40IBK2-64"
Kingston FURY Impact 64GB (2 x 32GB) 262-Pin DDR5 SO-DIMM DDR5 4800 (PC4 38400) Laptop Memory Model KF548S38IBK264,$344.99,Rating + 5,,https://c1.neweggimages.com/productimage/nb300/20-242-793-02.jpg,"CAS Latency:CL38, Timing:38-38-38, Voltage:1.10V, Model #:KF548S38IBK2-64"
CORSAIR Vengeance 32GB SO-DIMM DDR5 Laptop Memory,$264.99,Rating + 1,,https://c1.neweggimages.com/productimage/nb300/20-236-855-V01.jpg,"CAS Latency:CL48, Timing:48-48-48-96, Voltage:1.10V, Features:Upgrade your DDR5 gaming or performance laptop with cutting-edge CORSAIR VENGEANCE SERIES DDR5 SODIMM memory modules. Compatible with a wide range of Intel® laptops and small-form-factor PCs, VENGEANCE SODIMM upgrades your existing memory, harnessing the faster frequencies and greater capacities of DDR5. Modules are automatically set to maximum system speeds for faster load times and smoother multitasking, and installation is quick and easy – just a screwdriver is needed for most laptops. VENGEANCE SODIMM is compatible with Intel XMP 3.0 on high-frequency kits for exceptional performance. Each module is rigorously screened, thoroughly tested, and backed by a lifetime limited warranty to ensure high performance and reliability, granting your laptop an instant boost.
14th Gen Int..., Model #:CMSX32GX5M1A5600C48"
V-Color 32GB 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Memory (Notebook Memory) Model TN432G32D822,$119.99,,,https://c1.neweggimages.com/productimage/nb300/20-012-104-01.jpg,"Brand:V-Color, Capacity:32GB, Type:260-Pin DDR4 SO-DIMM, Speed:DDR4 3200 (PC4 25600), Model #:TN432G32D822"
Team Elite 32GB 262-Pin DDR5 SO-DIMM DDR5 4800 (PC4 38400) Laptop Memory Model TED532G4800C40D-S01,$349.99,Rating + 5,,https://c1.neweggimages.com/productimage/nb300/20-331-809-06.jpg,"CAS Latency:CL40, Timing:40-39-39-77, Voltage:1.10V, Part Number:TED532G4800C40D-S01, Model #:TED532G4800C40D-S01"
